Symbol,Company Name,Industry,Market Cap
NBST,Newbury Street Acquisition,Blank Check / SPAC,161.62M
NBTB,NBT Bancorp,Banks,1.67B
NBTX,Nanobiotix,Biotechnology,288.24M
NBY,NovaBay Pharmaceuticals,Pharmaceuticals,16.93M
NC,NACCO Industries,"Oil, Gas & Consumable Fuels",260.34M
NCAC,Newcourt Acquisition,Blank Check / SPAC,279.96M
NCBS,Nicolet Bankshares,Banks,1.22B
NCLH,Norwegian Cruise Line Holdings,"Hotels, Restaurants & Leisure",8.65B
NCMI,National CineMedia,Media,226.34M
NCNA,NuCana,Biotechnology,124.19M
NCNO,nCino,Software,5.31B
NCR,NCR Corporation,"Technology Hardware, Storage & Periph...",5.31B
NCSM,NCS Multistage Holdings,Energy Equipment & Services,69.01M
NCTY,The9 Limited,Entertainment,132.89M
NDAC,Nightdragon Acquisition,Blank Check / SPAC,430.56M
NDAQ,Nasdaq,Capital Markets,35.12B
NDLS,Noodles & Company,"Hotels, Restaurants & Leisure",414.40M
NDRA,ENDRA Life Sciences,Health Care Equipment & Supplies,29.17M
NDSN,Nordson,Machinery,14.85B
NE,Noble,Oil & Gas Drilling,1.49B
NECB,NorthEast Community Bancorp,Thrifts & Mortgage Finance,182.29M
NEE,NextEra Energy,Electric Utilities,183.19B
NEGG,Newegg Commerce,Internet Retail,3.82B
NEM,Newmont,Metals & Mining,49.46B
NEN,New England Realty Associates LP,Real Estate Management & Development,247.65M
NEO,NeoGenomics,Life Sciences Tools & Services,4.20B
NEOG,Neogen,Health Care Equipment & Supplies,4.89B
NEON,Neonode,"Electronic Equipment, Instruments & C...",120.02M
NEP,NextEra Energy Partners LP,Independent Power and Renewable Elect...,7.08B
NEPH,Nephros,Household Durables,60.38M
NEPT,Neptune Wellness Solutions,Personal Products,68.60M
NERV,Minerva Neurosciences,Biotechnology,34.22M
NES,Nuverra Environmental Solutions,Energy Equipment & Services,49.28M
NESR,National Energy Services Reunited,Energy Equipment & Services,863.36M
