Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,48.21B
AA,Alcoa,Metals & Mining,11.15B
AAC,Ares Acquisition,Blank Check / SPAC,1.22B
AACG,ATA Creativity Global,Diversified Consumer Services,33.59M
AACI,Armada Acquisition I,Blank Check / SPAC,202.75M
AADI,Aadi Bioscience,Biotechnology,504.59M
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trus...,110.18M
AAL,American Airlines Group,Airlines,11.63B
AAMC,Altisource Asset Management,Real Estate Management & Development,36.79M
AAME,Atlantic American,Insurance,49.93M
AAN,The Aaron's Company,Specialty Retail,776.06M
AAOI,Applied Optoelectronics,Communications Equipment,140.31M
AAON,"AAON, Inc.",Building Products,4.16B
AAP,Advance Auto Parts,Specialty Retail,14.96B
AAPL,Apple,"Technology Hardware, Storage & Periph...","2,913.28B"
AAQC,Accelerate Acquisition,Blank Check / SPAC,486.00M
AAT,American Assets Trust,Equity Real Estate Investment Trusts...,2.27B
AATC,Autoscope Technologies,Scientific & Technical Instruments,33.79M
AAU,Almaden Minerals,Metals & Mining,41.10M
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2.73B
AB,AllianceBernstein Holding,Capital Markets,4.82B
ABB,ABB Ltd,Electrical Equipment,76.16B
ABBV,AbbVie,Biotechnology,239.37B
ABC,AmerisourceBergen,Health Care Providers & Services,27.66B
ABCB,Ameris Bancorp,Banks,3.46B
ABCL,AbCellera Biologics,Biotechnology,4.03B
ABCM,Abcam,Biotechnology,5.39B
ABEO,Abeona Therapeutics,Biotechnology,49.41M
ABEV,Ambev,Beverages,44.07B
ABG,Asbury Automotive Group,Specialty Retail,4.00B
ABGI,ABG Acquisition I,Blank Check / SPAC,189.07M
ABIO,ARCA biopharma,Biotechnology,30.98M
ABM,ABM Industries,Commercial Services & Supplies,2.75B
ABMD,Abiomed,Health Care Equipment & Supplies,16.34B
ABNB,Airbnb,"Hotels, Restaurants & Leisure",105.79B
ABOS,Acumen Pharmaceuticals,Biotechnology,273.58M
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trus...,2.76B
ABSI,Absci,Biotechnology,759.25M
ABST,Absolute Software,Software-Application,468.81M
ABT,Abbott Laboratories,Health Care Equipment & Supplies,248.87B
ABTX,Allegiance Bancshares,Banks,854.78M
ABUS,Arbutus Biopharma,Biotechnology,526.20M
ABVC,ABVC BioPharma,Biotechnology,96.99M
AC,Associated Capital Group,Capital Markets,948.50M
ACA,Arcosa,Construction & Engineering,2.55B
ACAD,ACADIA Pharmaceuticals,Biotechnology,3.75B
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,420.90M
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,277.41M
ACB,Aurora Cannabis,Pharmaceuticals,1.07B
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61.45M
ACBI,Atlantic Capital Bancshares,Banks,584.17M
ACC,American Campus Communities,Equity Real Estate Investment Trusts...,7.97B
ACCD,Accolade,Health Care Technology,1.76B
ACCO,ACCO Brands,Commercial Services & Supplies,790.74M
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1.22B
ACER,Acer Therapeutics,Pharmaceuticals,32.63M
ACET,Adicet Bio,Health Care Providers & Services,684.61M
ACEV,ACE Convergence Acquisition,Blank Check / SPAC,286.35M
ACGL,Arch Capital Group,Insurance,17.16B
ACH,Aluminum Corporation of China,Metals & Mining,14.81B
ACHC,Acadia Healthcare Company,Health Care Providers & Services,5.46B
ACHL,Achilles Therapeutics,Biotechnology,203.42M
ACHR,Archer Aviation,Aerospace & Defense,1.43B
ACHV,Achieve Life Sciences,Biotechnology,73.55M
ACI,Albertsons Companies,Grocery Stores,14.10B
ACII,Atlas Crest Investment II,Blank Check / SPAC,419.61M
ACIU,AC Immune,Biotechnology,359.63M
ACIW,ACI Worldwide,Software,4.08B
ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,154.43M
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2.48B
ACM,AECOM,Construction & Engineering,11.00B
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,1.66B
ACN,Accenture,IT Services,262.21B
ACNB,ACNB Corporation,Banks,271.98M
ACOR,Acorda Therapeutics,Biotechnology,26.77M
ACQR,Independence Holdings,Blank Check / SPAC,601.72M
ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trus...,117.51M
ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trus...,683.41M
ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,364.50M
ACRS,Aclaris Therapeutics,Pharmaceuticals,890.24M
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,66.84M
ACST,Acasti Pharma,Pharmaceuticals,56.27M
ACT,Enact Holdings,Insurance-Specialty,3.37B
ACTD,ArcLight Clean Transition II,Blank Check / SPAC,388.18M
ACTG,Acacia Research,Professional Services,254.41M
ACU,Acme United,Commercial Services & Supplies,119.96M
ACVA,ACV Auctions,Software-Application,2.93B
ACXP,Acurx Pharmaceuticals,Biotechnology,44.15M
ACY,AeroCentury,Trading Companies & Distributors,263.68M
ADAG,Adagene,Biotechnology,351.59M
ADAP,Adaptimmune Therapeutics,Biotechnology,585.76M
ADBE,Adobe,Software,269.81B
ADC,Agree Realty,Equity Real Estate Investment Trusts...,5.09B
ADCT,ADC Therapeutics,Communications Equipment,1.55B
ADER,26 Capital Acquisition,Blank Check / SPAC,338.59M
ADES,Advanced Emissions Solutions,Chemicals,124.89M
ADEX,Adit EdTech Acquisition,Blank Check / SPAC,341.55M
ADGI,Adagio Therapeutics,Biotechnology,807.69M
ADI,Analog Devices,Semiconductors & Semiconductor Equipment,92.34B
ADIL,Adial Pharmaceuticals,Pharmaceuticals,56.56M
ADM,Archer-Daniels-Midland Company,Food Products,37.81B
ADMA,ADMA Biologics,Biotechnology,276.10M
ADMP,Adamis Pharmaceuticals,Pharmaceuticals,90.08M
ADN,Advent Technologies Holdings,Utilities-Renewable,359.29M
ADNT,Adient,Auto Components,4.52B
ADOC,Edoc Acquisition,Blank Check / SPAC,120.52M
ADP,Automatic Data Processing,IT Services,103.90B
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,3.96B
ADRA,Adara Acquisition,Blank Check / SPAC,140.73M
ADS,Alliance Data Systems,IT Services,3.31B
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,164.60M
ADSK,Autodesk,Software,61.85B
ADT,ADT Inc.,Commercial Services & Supplies,6.99B
ADTH,AdTheorent Holding Company,Advertising Agencies,255.34M
ADTN,ADTRAN,Communications Equipment,1.11B
ADTX,Aditx,Biotechnology,23.32M
ADUS,Addus HomeCare,Health Care Providers & Services,1.49B
ADV,Advantage Solutions,Advertising Agencies,2.55B
ADVM,Adverum Biotechnologies,Biotechnology,172.75M
ADXN,Addex Therapeutics,Biotechnology,38.85M
ADXS,Advaxis,Biotechnology,22.66M
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",121.11M
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,292.80M
AEAE,AltEnergy Acquisition,Blank Check / SPAC,246.25M
AEE,Ameren,Multi-Utilities,22.93B
AEG,Aegon,Insurance,9.99B
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,125.87M
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,9.44M
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,642.15M
AEI,Alset EHome International,Real Estate-Development,40.26M
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3.43B
AEL,American Equity Investment Life Holding Company,Insurance,3.60B
AEM,Agnico Eagle Mines,Metals & Mining,13.01B
AEMD,Aethlon Medical,Health Care Equipment & Supplies,28.64M
AENZ,Aenza,Engineering & Construction,296.14M
AEO,American Eagle Outfitters,Specialty Retail,4.27B
AEP,American Electric Power Company,Electric Utilities,44.16B
AER,AerCap Holdings,Trading Companies & Distributors,16.02B
AERC,AeroClean Technologies,Pollution & Treatment Controls,145.15M
AERI,Aerie Pharmaceuticals,Pharmaceuticals,332.45M
AES,The AES Corporation,Independent Power and Renewable Elect...,16.20B
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",66.93M
AEVA,Aeva Technologies,Auto Parts,1.62B
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",22.04M
AEYE,AudioEye,Software,79.71M
AEZS,AEterna Zentaris,Biotechnology,43.32M
AFAQ,AF Acquisition,Blank Check / SPAC,272.16M
AFBI,Affinity Bancshares,Banks,105.84M
AFCG,AFC Gamma,REIT-Specialty,374.24M
AFG,American Financial Group,Insurance,11.65B
AFI,Armstrong Flooring,Building Products,42.98M
AFIB,Acutus Medical,Medical Devices,95.32M
AFIN,American Finance Trust,Equity Real Estate Investment Trusts...,1.13B
AFL,Aflac,Insurance,38.63B
AFMD,Affimed,Biotechnology,661.28M
AFRM,Affirm Holdings,IT Services,28.26B
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,304.69M
AFYA,Afya Limited,Diversified Consumer Services,1.46B
AG,First Majestic Silver,Metals & Mining,2.85B
AGAC,African Gold Acquisition,Blank Check / SPAC,500.94M
AGBA,AGBA Acquisition,Blank Check / SPAC,55.34M
AGCB,Altimeter Growth 2,Blank Check / SPAC,576.32M
AGCO,AGCO Corporation,Machinery,8.68B
AGE,AgeX Therapeutics,Biotechnology,22.34M
AGEN,Agenus,Biotechnology,827.00M
AGFS,AgroFresh Solutions,Chemicals,104.17M
AGFY,Agrify,Machinery,195.69M
AGGR,Agile Growth,Blank Check / SPAC,376.65M
AGI,Alamos Gold,Metals & Mining,3.01B
AGIL,AgileThought,Software-Application,214.19M
AGIO,Agios Pharmaceuticals,Biotechnology,1.79B
AGL,agilon health,Medical Care Facilities,10.63B
AGLE,Aeglea Biotherapeutics,Biotechnology,234.27M
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1.33B
AGM.A,Federal Agricultural Mortgage,Credit Services,1.33B
AGMH,AGM Group Holdings,Capital Markets,51.26M
AGNC,AGNC Investment,Mortgage Real Estate Investment Trus...,7.89B
AGO,Assured Guaranty,Insurance,3.51B
AGR,Avangrid,Electric Utilities,19.31B
AGRI,AgriFORCE Growing Systems,Farm Products,31.32M
AGRO,Adecoagro,Food Products,865.47M
AGRX,Agile Therapeutics,Pharmaceuticals,59.25M
AGS,PlayAGS,"Hotels, Restaurants & Leisure",250.75M
AGTC,Applied Genetic Technologies,Biotechnology,81.44M
AGTI,Agiliti,Health Information Services,3.03B
AGX,Argan,Construction & Engineering,608.00M
AGYS,Agilysys,Software,1.09B
AHCO,AdaptHealth,Health Care Providers & Services,3.23B
AHG,Akso Health Group,All Other Nondepository Credit Interm...,80.09M
AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts...,936.11M
AHI,Advanced Human Imaging,Software-Application,46.64M
AHPA,Avista Public Acquisition II,Blank Check / SPAC,287.50M
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,23.36M
AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts...,325.01M
AI,C3.ai,Software,3.28B
AIG,American International Group,Insurance,47.21B
AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,82.12M
AIHS,Senmiao Technology,Consumer Finance,22.86M
AIKI,AIkido Pharma,Biotechnology,52.64M
AIM,AIM ImmunoTech,Biotechnology,44.02M
AIMC,Altra Industrial Motion,Machinery,3.35B
AIN,Albany International,Machinery,2.86B
AINC,Ashford,Capital Markets,50.33M
AINV,Apollo Investment,Capital Markets,823.10M
AIP,Arteris,Semiconductors,633.23M
AIR,AAR Corp.,Aerospace & Defense,1.38B
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts...,8.58B
AIRG,Airgain,"Electronic Equipment, Instruments & C...",107.31M
AIRI,Air Industries Group,Aerospace & Defense,29.14M
AIRS,AirSculpt Technologies,Medical Care Facilities,956.45M
AIRT,Air T,Air Freight & Logistics,72.48M
AIT,Applied Industrial Technologies,Trading Companies & Distributors,3.95B
AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts...,1.18B
AIZ,Assurant,Insurance,8.88B
AJG,Arthur J. Gallagher & Company,Insurance,35.17B
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3.76B
AJX,Great Ajax,Mortgage Real Estate Investment Trus...,304.56M
AKA,a.k.a. Brands Holding,Internet Retail,1.19B
AKAM,Akamai Technologies,IT Services,19.02B
AKBA,Akebia Therapeutics,Biotechnology,395.41M
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,286.45M
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1.91B
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,2.03B
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts...,1.93B
AKRO,Akero Therapeutics,Biotechnology,737.89M
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",347.66M
AKTX,Akari Therapeutics,Pharmaceuticals,71.40M
AKU,Akumin,Diagnostics & Research,155.80M
AKUS,Akouos,Biotechnology,293.20M
AKYA,Akoya Biosciences,Medical Instruments & Supplies,569.65M
AL,Air Lease,Trading Companies & Distributors,5.04B
ALAC,Alberton Acquisition,Blank Check / SPAC,52.37M
ALB,Albemarle,Chemicals,27.35B
ALBO,Albireo Pharma,Biotechnology,449.00M
ALC,Alcon,Medical Instruments & Supplies,42.82B
ALCC,AltC Acquisition,Blank Check / SPAC,629.91M
ALCO,Alico,Food Products,279.06M
ALDX,Aldeyra Therapeutics,Biotechnology,232.37M
ALE,ALLETE,Electric Utilities,3.49B
ALEC,Alector,Biotechnology,1.68B
ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts...,1.82B
ALF,"ALFI, Inc.",Software-Infrastructure,37.20M
ALG,Alamo Group,Machinery,1.75B
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,6.86B
ALGN,Align Technology,Health Care Equipment & Supplies,51.82B
ALGS,Aligos Therapeutics,Biotechnology,505.85M
ALGT,Allegiant Travel Company,Airlines,3.38B
ALHC,Alignment Healthcare,Health Care Providers & Services,2.63B
ALIM,Alimera Sciences,Pharmaceuticals,35.59M
ALIT,Alight,Software-Application,4.99B
ALJJ,ALJ Regional Holdings,IT Services,77.18M
ALK,Alaska Air Group,Airlines,6.53B
ALKS,Alkermes,Biotechnology,3.76B
ALKT,Alkami Technology,Software-Application,1.77B
ALL,The Allstate Corporation,Insurance,33.73B
ALLE,Allegion,Building Products,11.88B
ALLK,Allakos,Biotechnology,531.73M
ALLO,Allogene Therapeutics,Biotechnology,2.13B
ALLR,Allarity Therapeutics,Pharmaceutical Preparations,83.78M
ALLT,Allot,Software,432.50M
ALLY,Ally Financial,Consumer Finance,16.49B
ALNA,Allena Pharmaceuticals,Biotechnology,50.58M
ALNY,Alnylam Pharmaceuticals,Biotechnology,20.28B
ALOT,AstroNova,"Technology Hardware, Storage & Periph...",97.96M
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,184.75M
ALPN,Alpine Immune Sciences,Biotechnology,404.70M
ALPP,Alpine 4 Holdings,Metal Fabrication,343.66M
ALRM,Alarm.com Holdings,Software,4.25B
ALRN,Aileron Therapeutics,Biotechnology,50.98M
ALRS,Alerus Financial,Diversified Financial Services,503.85M
ALSN,Allison Transmission Holdings,Machinery,3.79B
ALT,Altimmune,Biotechnology,364.01M
ALTG,Alta Equipment Group,Trading Companies & Distributors,473.80M
ALTM,Altus Midstream Company,"Oil, Gas & Consumable Fuels",229.70M
ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",350.17M
ALTR,Altair Engineering,Software,6.10B
ALTU,Altitude Acquisition,Blank Check / SPAC,371.25M
ALV,Autoliv,Auto Components,9.05B
ALVR,AlloVir,Biotechnology,842.92M
ALX,Alexander's,Equity Real Estate Investment Trusts...,1.33B
ALXO,ALX Oncology Holdings,Biotechnology,870.33M
ALYA,Alithya Group,IT Services,214.85M
ALZN,Alzamend Neuro,Biotechnology,168.82M
AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4.62B
AMAL,Amalgamated Financial,Banks,521.50M
AMAM,Ambrx Biopharma,Biotechnology,315.65M
AMAO,American Acquisition Opportunity,Blank Check / SPAC,135.48M
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,139.82B
AMBA,Ambarella,Semiconductors & Semiconductor Equipment,7.51B
AMBC,Ambac Financial Group,Insurance,743.18M
AMBO,Ambow Education Holding,Diversified Consumer Services,21.45M
AMBP,Ardagh Metal Packaging,Packaging & Containers,5.80B
AMC,AMC Entertainment Holdings,Entertainment,13.96B
AMCI,AMCI Acquisition II,Blank Check / SPAC,181.12M
AMCR,Amcor,Containers & Packaging,18.41B
AMCX,AMC Networks,Media,1.46B
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,173.78B
AME,AMETEK,Electrical Equipment,34.01B
AMED,Amedisys,Health Care Providers & Services,5.28B
AMEH,Apollo Medical Holdings,Health Care Providers & Services,4.08B
AMG,Affiliated Managers Group,Capital Markets,6.69B
AMGN,Amgen,Biotechnology,126.72B
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts...,14.58B
AMK,AssetMark Financial Holdings,Capital Markets,1.93B
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,6.06B
AMN,AMN Healthcare Services,Health Care Providers & Services,5.78B
AMNB,American National Bankshares,Banks,406.14M
AMOT,Allied Motion Technologies,Electrical Equipment,542.03M
AMOV,America Movil,Wireless Telecommunication Services,68.13B
AMP,Ameriprise Financial,Capital Markets,33.75B
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,129.46M
AMPG,AmpliTech Group,Communication Equipment,37.75M
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1.11B
AMPI,Advanced Merger Partners,Blank Check / SPAC,349.16M
AMPL,Amplitude,Software-Application,5.76B
AMPS,Altus Power,Shell Companies,441.64M
AMPY,Amplify Energy,Oil & Gas E&P,118.25M
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",1.12B
AMRC,Ameresco,Construction & Engineering,4.20B
AMRK,A-Mark Precious Metals,Diversified Financial Services,693.61M
AMRN,Amarin,Biotechnology,1.33B
AMRS,Amyris,Chemicals,1.67B
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,715.49M
AMS,American Shared Hospital Services,Health Care Providers & Services,13.91M
AMSC,American Superconductor,Electrical Equipment,308.94M
AMSF,AMERISAFE,Insurance,1.04B
AMST,Amesite,Software-Application,22.65M
AMSWA,American Software,Software,876.64M
AMT,American Tower,Equity Real Estate Investment Trusts...,133.21B
AMTB,Amerant Bancorp,Banks,1.28B
AMTI,Applied Molecular Transport,Biotechnology,538.08M
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",409.46M
AMWD,American Woodmark,Building Products,1.08B
AMWL,American Well,Health Information Services,1.57B
AMX,America Movil,Wireless Telecommunication Services,68.32B
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,690.46M
AMZN,Amazon.com,Internet & Direct Marketing Retail,"1,691.00B"
AN,AutoNation,Specialty Retail,7.66B
ANAB,AnaptysBio,Biotechnology,960.65M
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,386.22M
ANAT,American National Group,Insurance,5.08B
ANDE,The Andersons,Food & Staples Retailing,1.29B
ANEB,Anebulo Pharmaceuticals,Biotechnology,143.57M
ANET,Arista Networks,Communications Equipment,44.17B
ANF,Abercrombie & Fitch Company,Specialty Retail,1.97B
ANGI,Angi Inc.,Interactive Media & Services,4.63B
ANGN,Angion Biomedica,Biotechnology,86.87M
ANGO,AngioDynamics,Health Care Equipment & Supplies,1.07B
ANIK,Anika Therapeutics,Biotechnology,517.27M
ANIP,ANI Pharmaceuticals,Pharmaceuticals,768.14M
ANIX,Anixa Biosciences,Biotechnology,88.95M
ANNX,Annexon,Biotechnology,440.93M
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,21.67M
ANSS,ANSYS,Software,35.00B
ANTE,AirNet Technology,Media,27.05M
ANTM,Anthem,Health Care Providers & Services,112.51B
ANVS,Annovis Bio,Biotechnology,142.41M
ANY,Sphere 3D,Software,196.66M
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,517.44M
AOMR,Angel Oak Mortgage,REIT-Mortgage,414.94M
AON,Aon plc,Insurance,66.22B
AOS,A. O. Smith,Building Products,13.66B
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1.60B
AOUT,American Outdoor Brands,Leisure Products,282.71M
AP,Ampco-Pittsburgh,Metals & Mining,95.47M
APA,APA Corporation,"Oil, Gas & Consumable Fuels",9.77B
APAC,Stonebridge Acquisition,Blank Check / SPAC,246.25M
APAM,Artisan Partners Asset Management,Capital Markets,3.11B
APD,Air Products & Chemicals,Chemicals,67.45B
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",30.09M
APEI,American Public Education,Diversified Consumer Services,416.28M
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,332.92M
APG,APi Group,Construction & Engineering,5.79B
APGB,Apollo Strategic Growth Capital II,Blank Check / SPAC,843.52M
APH,Amphenol,"Electronic Equipment, Instruments & C...",52.30B
API,Agora,"Electronic Equipment, Instruments & C...",1.88B
APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts...,3.69B
APLS,Apellis Pharmaceuticals,Biotechnology,4.60B
APLT,Applied Therapeutics,Biotechnology,234.63M
APM,Aptorum Group,Biotechnology,53.44M
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,184.12M
APO,Apollo Global Management,Capital Markets,31.35B
APOG,Apogee Enterprises,Building Products,1.22B
APP,AppLovin,Software-Application,35.27B
APPF,AppFolio,Software,4.20B
APPH,AppHarvest,Farm Products,392.67M
APPN,Appian,Software,4.64B
APPS,Digital Turbine,Software,5.89B
APR,Apria,Medical Instruments & Supplies,1.16B
APRE,Aprea Therapeutics,Biotechnology,61.60M
APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,212.47M
APSG,Apollo Strategic Growth Capital,Shell Companies,1.01B
APT,Alpha Pro Tech,Building Products,79.00M
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,310.89M
APTO,Aptose Biosciences,Biotechnology,120.69M
APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts...,956.21M
APTV,Aptiv,Auto Components,44.62B
APTX,Aptinyx,Biotechnology,180.80M
APVO,Aptevo Therapeutics,Biotechnology,38.55M
APWC,Asia Pacific Wire & Cable,Electrical Equipment,28.19M
APYX,Apyx Medical,Health Care Equipment & Supplies,440.29M
AQB,AquaBounty Technologies,Biotechnology,149.15M
AQMS,Aqua Metals,Commercial Services & Supplies,85.89M
AQN,Algonquin Power & Utilities,Multi-Utilities,9.71B
AQST,Aquestive Therapeutics,Pharmaceuticals,156.24M
AQUA,Evoqua Water Technologies,Machinery,5.64B
AR,Antero Resources,"Oil, Gas & Consumable Fuels",5.49B
ARAV,Aravive,Biotechnology,45.93M
ARAY,Accuray,Health Care Equipment & Supplies,433.68M
ARBE,Arbe Robotics,Software-Infrastructure,577.86M
ARBG,Aequi Acquisition,Blank Check / SPAC,281.46M
ARBK,Argo Blockchain,Capital Markets,617.84M
ARC,ARC Document Solutions,Commercial Services & Supplies,150.94M
ARCB,ArcBest,Road & Rail,3.06B
ARCC,Ares Capital,Capital Markets,9.76B
ARCE,Arco Platform,Diversified Consumer Services,1.20B
ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",1.40B
ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,186.56M
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1.23B
ARCT,Arcturus Therapeutics Holdings,Biotechnology,975.60M
ARDS,Aridis Pharmaceuticals,Biotechnology,32.75M
ARDX,Ardelyx,Biotechnology,124.02M
ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts...,34.55B
AREC,American Resources,"Oil, Gas & Consumable Fuels",111.12M
ARES,Ares Management,Capital Markets,13.91B
ARGO,Argo Group International Holdings,Insurance,2.03B
ARGU,Argus Capital,Blank Check / SPAC,324.23M
ARGX,Argenx SE,Biotechnology,18.39B
ARHS,Arhaus,Home Improvement Retail,1.86B
ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trus...,1.84B
ARIS,Aris Water Solutions,Commercial Services & Supplies,262.85M
ARKO,ARKO Corp.,Grocery Stores,1.09B
ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",59.75M
ARL,American Realty Investors,Real Estate Management & Development,204.32M
ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",884.30M
ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",1.61B
ARMK,Aramark,"Hotels, Restaurants & Leisure",9.45B
ARMP,Armata Pharmaceuticals,Biotechnology,148.43M
ARNA,Arena Pharmaceuticals,Biotechnology,5.71B
ARNC,Arconic,Aerospace & Defense,3.52B
AROC,Archrock,Energy Equipment & Services,1.15B
AROW,Arrow Financial,Banks,564.50M
ARQQ,Arqit Quantum,Software-Infrastructure,2.88B
ARQT,Arcutis Biotherapeutics,Biotechnology,1.04B
ARR,ARMOUR Residential REIT,Mortgage Real Estate Investment Trus...,879.85M
ARRW,Arrowroot Acquisition,Blank Check / SPAC,348.59M
ARRY,Array Technologies,Solar,2.12B
ARTA,Artisan Acquisition,Blank Check / SPAC,435.23M
ARTE,Artemis Strategic Investment,Blank Check / SPAC,255.78M
ARTL,Artelo Biosciences,Pharmaceuticals,21.95M
ARTNA,Artesian Resources,Water Utilities,434.89M
ARTW,Art's-Way Manufacturing Co.,Machinery,16.05M
ARVL,Arrival,Auto Manufacturers,4.72B
ARVN,Arvinas,Pharmaceuticals,4.34B
ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",9.35B
ARWR,Arrowhead Pharmaceuticals,Biotechnology,6.93B
ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,190.52M
ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,186.11M
ASA,ASA Gold and Precious Metals,Capital Markets,406.82M
ASAI,Sendas Distribuidora,Food & Staples Retailing,3.19B
ASAN,Asana,Software,13.90B
ASAQ,Atlantic Street Acquisition,Blank Check / SPAC,306.25M
ASAX,Astrea Acquisition,Blank Check / SPAC,217.73M
ASB,Associated Banc-Corp,Banks,3.39B
ASC,Ardmore Shipping,"Oil, Gas & Consumable Fuels",116.15M
ASGN,ASGN Incorporated,Professional Services,6.43B
ASH,Ashland Global Holdings,Chemicals,6.13B
ASIX,AdvanSix,Chemicals,1.33B
ASLE,AerSale,Airports & Air Services,798.03M
ASLN,ASLAN Pharmaceuticals,Biotechnology,77.97M
ASM,Avino Silver & Gold Mines,Metals & Mining,89.01M
ASMB,Assembly Biosciences,Biotechnology,111.52M
ASML,ASML Holding,Semiconductors & Semiconductor Equipment,330.72B
ASND,Ascendis Pharma,Biotechnology,7.66B
ASO,Academy Sports and Outdoors,Specialty Retail,3.89B
ASPA,Abri SPAC I,Blank Check / SPAC,64.22M
ASPC,Alpha Capital Acquisition Company,Blank Check / SPAC,283.47M
ASPN,Aspen Aerogels,Energy Equipment & Services,1.65B
ASPS,Altisource Portfolio Solutions,Real Estate Management & Development,178.45M
ASPU,Aspen Group,Diversified Consumer Services,59.08M
ASR,Grupo Aeroportuario del Sureste,Transportation Infrastructure,6.20B
ASRT,Assertio Holdings,Pharmaceuticals,97.30M
ASRV,AmeriServ Financial,Banks,65.93M
ASTC,Astrotech,Aerospace & Defense,33.67M
ASTE,Astec Industries,Machinery,1.58B
ASTL,Algoma Steel Group,Steel,775.81M
ASTR,Astra Space,Aerospace & Defense,1.79B
ASTS,AST SpaceMobile,Telecom Services,410.74M
