,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment
132,GPC,genuine_parts,7.84,1.08,0.04272172277890832,2.96,1.58,9536.0,2082.099999999999,0.88,0.19690000000000002,0.081
133,GILD,gilead_sciences,24.9,1.19,0.054996024383779485,3.37,0.83,1879.08,47.80000000000015,0.62,0.2505,0.18530000000000002
134,GL,globe_life,12.39,1.37,0.07140852482020699,2.13,0.73,7518.0,-717.0000000000001,1.2,0.3774,0.24280000000000002
135,HAL,halliburton,29.58,2.58,0.20992995467655542,2.02,1.19,926.0,432.99999999999994,1.43,0.4403,0.31329999999999997
136,HIG,the_hartford,51.98,2.39,-0.14982471246694137,2.69,1.43,1439.0,-1157.9000000000005,1.79,0.0748,0.0799
137,HCA,hca_healthcare,31.22,1.52,0.05965537730243613,2.35,1.12,850.59,20.49999999999995,1.3,0.1523,0.10529999999999999
138,PEAK,healthpeak_properties,13.09,1.38,0.18862476151188573,26.16,1.22,6397.0,1967.1000000000006,1.17,2.9227,0.2912
139,HSY,the_hershey_company,17.58,1.7,0.09746766259792312,1.05,1.27,550.08,112.19999999999983,0.93,0.1558,0.1796
140,HES,hess_corporation,28.12,1.44,0.2462707182320442,2.72,1.27,1259.14,-1345.5000000000007,0.9,0.6154,0.3099
141,HLT,hilton_worldwide,6.16,0.91,0.03058467524046255,1.88,1.09,3723.0,80.60000000000069,0.69,0.1959,0.0388
142,HD,home_depot,10.63,2.39,0.32657361074532526,1.11,0.98,2174.2,628.3000000000001,2.01,0.49369999999999997,0.3821
143,HON,honeywell,27.74,1.13,0.38548982389539177,69.56,1.18,16376.0,5702.4000000000015,0.37,7.8214,0.5981000000000001
144,HRL,hormel,26.8,1.29,0.12549296084954503,2.54,1.16,5359.0,3260.2,1.04,0.30260000000000004,0.188
145,HST,host_hotels_&_resorts,29.4,2.08,0.10372340425531915,0.82,2.1,771.73,423.1,1.12,0.13449999999999998,0.1255
146,HPQ,hp,48.97,2.33,0.06398855156904835,1.89,0.65,-144.0,414.3000000000001,1.16,0.0788,0.1033
147,HUM,humana,6.92,0.76,0.5572840025225982,-24.4,1.69,5827.0,-163.8,0.49,-2.1344,1.9363
148,IEX,idex_corporation,11.2,1.14,0.14011127971674253,3.75,14.04,740.0,574.2,1.09,0.3309,0.16899999999999998
149,IDXX,idexx_laboratories,41.83,3.38,0.12976338729763387,0.78,1.13,520.02,257.09999999999997,2.62,0.1638,0.1635
150,INFO,ihs_markit,75.42,1.48,0.40595794392523366,2.16,1.31,541.11,406.4000000000001,1.07,1.0666,0.6086
151,ILMN,illumina,28.7,2.2,0.22130077555094832,3.44,1.38,2581.0,941.1000000000008,1.69,0.8097,0.32899999999999996
152,INCY,incyte,62.47,2.68,0.09146822267781107,0.42,0.84,891.0,828.6999999999999,2.24,0.1427,-0.0040999999999999995
153,IR,ingersoll_rand,30.46,3.94,-0.0901331512461591,0.33,1.87,-311.98,45.70000000000004,3.91,0.1873,0.2213
154,INTC,intel,61.87,2.47,0.005906187761829545,0.71,0.94,867.4,127.70000000000006,1.94,0.04650000000000001,0.0462
155,ICE,intercontinental_exchange,10.0,2.07,0.18449862471461853,0.86,0.86,20931.0,4241.2,1.74,0.2511,0.17300000000000001
156,IP,international_paper,25.27,0.84,0.053048181771201186,5.45,5.0,15767.0,2974.399999999992,0.78,0.22,0.0942
157,IPG,interpublic_group,10.3,2.11,0.07890244943244858,2.06,1.91,2320.0,873.2000000000002,1.67,0.2139,0.1223
158,INTU,intuit,122.48,1.99,0.04857535187092345,0.88,0.83,539.49,92.09999999999988,1.32,0.0139,0.0189
159,IVZ,invesco,77.55,5.58,0.10290082320658565,0.13,0.74,1143.3,575.2,5.01,0.1598,inf
160,IQV,iqvia,35.35,7.94,0.07313487688349872,0.15,0.44,198.53,277.30000000000007,6.45,0.0981,0.12890000000000001
161,JNJ,johnson_&_johnson,19.43,1.06,0.10337631363195945,0.96,1.22,1258.3,372.2,0.48,0.0933,0.1012
162,JCI,johnson_controls,25.57,1.34,0.12695523447708099,1.55,0.7,20494.0,1554.4000000000021,1.11,0.2659,0.1997
163,JPM,jpmorgan_chase,35.66,1.1,0.07803732617711637,1.23,2.04,2123.0,-1054.7000000000005,0.87,0.08689999999999999,0.0975
164,K,kellogg's,79.36,1.67,0.04890551399279579,0.99,2.23,511.6,184.1000000000001,1.54,0.0341,0.054299999999999994
165,KEY,keycorp,17.6,0.76,0.13803103934786018,3.59,1.78,1481.0,429.9999999999997,0.48,0.332,0.1696
166,KMB,kimberly-clark,43.11,2.93,0.1668726823238566,1.06,0.59,1148.0,610.2,2.34,0.2447,0.1984
167,KIM,kimco_realty,24.31,0.78,0.2927797833935018,24.14,1.68,2543.0,438.8999999999996,0.49,2.5922,0.33149999999999996
168,KLAC,kla_corporation,20.6,0.46,0.02331873421127371,1.25,3.41,3896.0,-647.3000000000001,0.38,0.0553,0.047
169,KHC,kraft_heinz,24.36,2.44,0.3046033300685602,1.89,0.47,1972.09,45.700000000000024,1.76,0.8197,0.4119
170,KR,kroger,19.2,1.13,0.023188658479442948,0.89,1.51,4333.0,-1811.9,0.8,0.0458,0.0665
171,LHX,l3harris_technologies,34.03,0.8,0.08349351273426238,4.25,3.32,4115.0,1892.1000000000004,0.35,0.10800000000000001,0.1067
172,LH,labcorp,28.21,1.54,0.060910757946210266,0.79,2.85,2513.0,286.40000000000003,1.3,0.07690000000000001,0.0793
173,LRCX,lam_research,11.15,2.08,0.14387430857949865,0.98,6.52,1795.7,1060.0,1.94,0.2752,0.24789999999999998
174,LW,lamb_weston,24.28,3.27,0.3625040439987059,1.67,0.81,3239.07,2013.0000000000002,2.43,0.7505,0.45840000000000003
175,LVS,las_vegas_sands,36.22,2.67,0.13223830734966593,8.77,1.78,406.0,288.70000000000005,1.95,0.5856,0.12689999999999999
176,LDOS,leidos,0.0,2.1,-0.09125310844415613,7.19,26.55,-2641.0,-242.60000000000016,2.09,-0.3762,-0.0558
177,LEN,lennar,16.46,1.07,0.10391503540191586,2.19,10.98,1163.0,391.3000000000001,0.99,0.192,0.136
178,LLY,eli_lilly,11.2,9.56,0.1822696796622796,0.58,0.29,4118.07,1597.2,1.41,0.2181,0.2004
179,LNC,lincoln_national,42.11,1.3,0.1773886562618957,5.06,0.37,5111.7,-2540.6000000000013,1.02,0.8673000000000001,0.284
180,LYV,live_nation_entertainment,51.02,0.81,0.04459718884667535,0.84,2.58,4029.0,1221.6,0.7,0.0751,0.08
181,LMT,lockheed_martin,17.45,1.83,0.09506363285769379,1.11,0.81,1287.93,538.8,0.79,0.1775,0.1753
182,L,loews_corporation,16.4,1.42,0.23503820322484162,4.38,4.73,6417.0,2362.0,1.23,0.8493,0.4765
183,LUMN,lumen_technologies,22.46,1.19,0.3444742010355294,-32.35,0.92,9348.0,-1394.6000000000004,0.39,249.8015,0.5316
184,MTB,m&t_bank,5.39,1.89,0.05213872445737601,2.27,2.03,1457.0,-2699.500000000002,1.22,0.5863,0.28550000000000003
