Unnamed: 0,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment,price_trend
265,SBUX,starbucks,16.8,1.23,0.07991372053872052,1.15,0.7,1693.9,561.6000000000001,0.49,0.1609,0.149,12.76749976515474
266,STT,state_street_corporation,32.95,1.2,0.2096295340131664,-6.91,1.55,4519.1,-3303.1,1.0,-0.6071,0.6748000000000001,13.546540800595661
267,SYK,stryker_corporation,86.93,2.42,0.0913942628418946,0.8,1.27,450.95,248.29999999999995,1.71,0.0478,0.0546,14.255259887048954
268,SIVB,svb_financial,53.81,2.13,0.0758988015978695,1.41,0.44,2790.0,1000.2000000000003,1.35,0.1392,0.0947,30.949292252792493
269,SYY,sysco,76.45,1.16,0.1159488878371983,0.65,1.03,1396.88,606.3000000000002,1.07,0.1482,0.14300000000000002,11.966695758891015
270,TMUS,t-mobile_us,59.51,1.38,0.10195828011919966,12.21,3.33,1492.31,162.19999999999948,0.86,0.453,0.1282,11.23295146816424
271,TROW,t._rowe_price,43.44,0.87,0.037185011683355834,1.95,4.93,-2394.0,3678.9,0.78,0.0501,0.0539,16.523600783031483
272,TPR,tapestry,36.72,1.65,0.1657880864522931,0.91,36.31,843.4,515.0,1.65,0.1657,inf,12.181820404754102
273,TGT,target,13.9,1.87,0.13916043703277745,1.54,0.5,1231.6,-164.60000000000005,1.38,0.2696,0.2322,17.696090563029234
274,TEL,te_connectivity,17.03,0.97,0.21010185393438932,2.94,1.22,7918.0,582.0000000000001,0.33,0.4672,0.3332,14.65098697488897
275,TDY,teledyne_technologies,23.76,1.56,0.14482922765678924,1.02,1.02,2072.0,130.1999999999995,1.02,0.2249,0.17850000000000002,16.462432557573997
276,TFX,teleflex,43.69,1.78,0.11100832562442182,0.95,0.95,547.5,361.8,1.2,0.0781,0.0666,6.6312736705175315
277,TER,teradyne,35.9,2.74,0.06397459165154265,0.93,0.65,346.45,234.10000000000005,1.88,0.1252,0.08410000000000001,13.008160161175454
278,TSLA,tesla,30.8,3.35,0.3144696712978651,0.48,1.69,683.96,-20.000000000000032,3.05,0.4129,0.4466,31.502096361616783
279,TXN,texas_instruments,342.0,1.39,0.05261213720316623,1.07,1.94,2786.0,-591.3,1.1,0.1381,0.1344,13.800018092733483
280,TXT,textron,24.19,5.63,0.3475030953363599,0.92,0.8,5494.0,2312.399999999997,4.86,0.6838,0.4854,14.17053252557463
281,TMO,thermo_fisher_scientific,22.71,2.66,0.04206029737944632,1.53,0.68,484.0,116.79999999999994,1.46,0.1293,0.08929999999999999,25.768498807102556
282,TJX,tjx_companies,31.01,3.19,0.1326683461564649,0.9,0.95,6823.0,3455.600000000001,2.56,0.2361,0.1891,12.294096753894076
283,TSCO,tractor_supply_company,34.67,1.29,0.02908545727136432,3.67,1.33,3993.87,191.7999999999999,0.7,0.4301,0.4132,17.496031666654815
