Unnamed: 0,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment,price_trend
0,ABT,abbott_laboratories,17.43,1.71,0.18176972281449894,2.32,0.98,6740.0,1472.799999999999,1.19,0.4245,0.2471,13.154162040031023
1,ABBV,abbvie,34.92,1.83,0.0883395722366056,1.13,0.84,5724.0,599.2999999999996,1.42,0.2139,0.1643,13.362953740253438
2,ABMD,abiomed,32.24,1.02,0.09321269195432473,9.96,1.42,16790.0,-738.8000000000009,0.91,0.5686,0.1881,13.998169803070077
3,ACN,accenture,110.85,7.64,0.1683748169838946,0.11,0.51,221.2,221.20000000000005,6.89,0.1128,inf,22.183967564589977
4,AAP,advance_auto_parts,44.55,2.24,0.20916730328495034,0.56,1.17,777.0,707.6000000000006,1.71,0.5988,0.4384,17.394116730501054
5,AES,aes_corp,24.28,1.24,0.10569334836527622,2.71,0.32,703.02,432.1,0.35,0.1908,0.1985,11.767852020345737
6,AFL,aflac,31.56,1.22,0.023597004206422488,5.08,3.95,855.0,251.6000000000004,1.1,0.1004,0.0437,12.797240750375128
7,APD,air_products_&_chemicals,40.52,2.22,0.14971657219073026,0.99,0.92,1298.0,136.50000000000006,1.74,0.2426,0.1777,13.74603468835455
8,AKAM,akamai_technologies,32.23,2.99,0.09480465502909394,0.91,4.42,908.5,712.8000000000003,2.83,0.1561,0.1109,12.738775789717213
9,ARE,alexandria_real_estate_equities,123.69,1.31,0.0584971098265896,0.84,0.78,-51.56,297.39999999999986,0.84,0.0376,0.1211,16.179238674801976
10,ALLE,allegion,70.66,1.37,0.11044520547945204,0.61,1.26,507.26,434.3000000000001,1.26,0.2188,inf,13.521943889913505
11,LNT,alliant_energy,26.02,1.52,0.15855572998430142,2.59,1.21,443.2,164.9,1.08,0.5766,0.2446,12.817444591688442
12,ALL,allstate_corp,24.3,0.65,0.04508621214890635,1.96,1.03,-865.0,205.39999999999972,0.51,0.1056,0.0614,12.907053824543821
